Date	Hour	Effectif
26/12/2023	10	0
26/12/2023	11	0
26/12/2023	12	0
26/12/2023	13	0
26/12/2023	14	0
26/12/2023	15	0
26/12/2023	16	1
26/12/2023	17	6
26/12/2023	18	2
26/12/2023	19	2
26/12/2023	20	8
26/12/2023	21	11
26/12/2023	22	14
26/12/2023	23	0
27/12/2023	0	4
27/12/2023	1	12
27/12/2023	2	52
27/12/2023	3	18
27/12/2023	4	5
27/12/2023	5	0
27/12/2023	6	3
27/12/2023	7	3
27/12/2023	8	0
27/12/2023	9	0
27/12/2023	10	0
27/12/2023	11	0
27/12/2023	12	0
27/12/2023	13	0
27/12/2023	14	0
27/12/2023	15	0
27/12/2023	16	0
27/12/2023	17	62
27/12/2023	18	19
27/12/2023	19	19
27/12/2023	20	6
27/12/2023	21	0
27/12/2023	22	0
27/12/2023	23	0
28/12/2023	0	0
28/12/2023	1	0
28/12/2023	2	3
28/12/2023	3	0
28/12/2023	4	0
28/12/2023	5	0
28/12/2023	6	0
28/12/2023	7	0
28/12/2023	8	0
28/12/2023	9	0
28/12/2023	10	0
28/12/2023	11	0
28/12/2023	12	0
28/12/2023	13	0
28/12/2023	14	0
28/12/2023	15	0
28/12/2023	16	3
28/12/2023	17	116
28/12/2023	18	14
28/12/2023	19	15
28/12/2023	20	25
28/12/2023	21	14
28/12/2023	22	6
28/12/2023	23	3
29/12/2023	0	57
29/12/2023	1	15
29/12/2023	2	2
29/12/2023	3	17
29/12/2023	4	2
29/12/2023	5	0
29/12/2023	6	0
29/12/2023	7	2
29/12/2023	8	0
29/12/2023	9	0
29/12/2023	10	0
29/12/2023	11	0
29/12/2023	12	0
29/12/2023	13	0
29/12/2023	14	0
29/12/2023	15	0
29/12/2023	16	0
29/12/2023	17	0
29/12/2023	18	24
29/12/2023	19	9
29/12/2023	20	10
29/12/2023	21	2
29/12/2023	22	8
29/12/2023	23	6
30/12/2023	0	2
30/12/2023	1	2
30/12/2023	2	5
30/12/2023	3	14
30/12/2023	4	4
30/12/2023	5	6
30/12/2023	6	0
30/12/2023	7	0
30/12/2023	8	0
30/12/2023	9	0
30/12/2023	10	0
30/12/2023	11	0
30/12/2023	12	0
30/12/2023	13	0
30/12/2023	14	0
30/12/2023	15	0
30/12/2023	16	0
30/12/2023	17	3
30/12/2023	18	8
30/12/2023	19	28
30/12/2023	20	3
30/12/2023	21	22
30/12/2023	22	45
30/12/2023	23	10
31/12/2023	0	6
31/12/2023	1	6
31/12/2023	2	11
31/12/2023	3	25
31/12/2023	4	6
31/12/2023	5	2
31/12/2023	6	30
31/12/2023	7	8
31/12/2023	8	0
31/12/2023	9	0
31/12/2023	10	0
31/12/2023	11	0
31/12/2023	12	0
31/12/2023	13	0
31/12/2023	14	0
31/12/2023	15	0
31/12/2023	16	8
31/12/2023	17	59
31/12/2023	18	59
31/12/2023	19	117
31/12/2023	20	24
31/12/2023	21	45
31/12/2023	22	22
31/12/2023	23	45
01/01/2024	0	13
01/01/2024	1	56
01/01/2024	2	21
01/01/2024	3	55
01/01/2024	4	37
01/01/2024	5	52
01/01/2024	6	34
01/01/2024	7	16
01/01/2024	8	0
01/01/2024	9	0
01/01/2024	10	0
01/01/2024	11	0
01/01/2024	12	0
01/01/2024	13	0
01/01/2024	14	0
01/01/2024	15	0
01/01/2024	16	14
01/01/2024	17	64
01/01/2024	18	85
01/01/2024	19	24
01/01/2024	20	93
01/01/2024	21	42
01/01/2024	22	50
01/01/2024	23	63
02/01/2024	0	30
02/01/2024	1	4
02/01/2024	2	17
02/01/2024	3	27
02/01/2024	4	41
02/01/2024	5	48
02/01/2024	6	14
02/01/2024	7	24
02/01/2024	8	0
02/01/2024	9	0
02/01/2024	10	0
02/01/2024	11	0
02/01/2024	12	0
02/01/2024	13	0
02/01/2024	14	0
02/01/2024	15	0
02/01/2024	16	117
02/01/2024	17	60
02/01/2024	18	103
02/01/2024	19	74
02/01/2024	20	60
02/01/2024	21	109
02/01/2024	22	94
02/01/2024	23	78
03/01/2024	0	0
03/01/2024	1	0
03/01/2024	2	0
03/01/2024	3	0
03/01/2024	4	0
03/01/2024	5	0
03/01/2024	6	0
03/01/2024	7	0
03/01/2024	8	0
03/01/2024	9	0
03/01/2024	10	0
03/01/2024	11	0
03/01/2024	12	0
03/01/2024	13	0
03/01/2024	14	0
03/01/2024	15	0
03/01/2024	16	0
03/01/2024	17	0
03/01/2024	18	0
03/01/2024	19	0
03/01/2024	20	0
03/01/2024	21	0
03/01/2024	22	0
03/01/2024	23	0
04/01/2024	0	0
04/01/2024	1	0
04/01/2024	2	0
04/01/2024	3	0
04/01/2024	4	0
04/01/2024	5	0
04/01/2024	6	0
04/01/2024	7	0
04/01/2024	8	0
04/01/2024	9	0
04/01/2024	10	0
04/01/2024	11	0
04/01/2024	12	0
04/01/2024	13	0
